"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion","parametro_var","valor_var"
10,1.5,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281766.010305548,-0.117614537704147,-0.138526741869138,-0.071265413593391,-0.144133642006161,-0.0933656937877281,0.00190629803551168,0.442635372009404,2.47765041939322e-05,"sigma_q",2
10,1.5,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281000.620054529,-0.388935425551606,-0.525844173314782,-0.167563041651153,-0.222262094535741,-0.12843697070346,0.0146846112137528,0.817597237048532,2.47765041939322e-05,"sigma_q",2
10,1.5,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282373.359561237,0.0976828730841817,0.0654512338145175,0.254767718114746,0.0367782265805028,0.0514411094429956,-0.0670184915267213,-0.212678264126288,2.47765041939322e-05,"sigma_q",2
11,1.5,2.5,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281763.233396759,-0.11859891574808,-0.140241173544342,-0.0712127975083576,-0.133885771575748,-0.0829514342025717,0.00192173277728525,0.444569003182213,2.47765041941293e-05,"sigma_q",2.5
11,1.5,2.5,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280995.489548668,-0.390754123142301,-0.529014689812035,-0.1674622728432,-0.203170236126005,-0.109036241756999,0.0147129625665154,0.821177261432899,2.47765041941293e-05,"sigma_q",2.5
11,1.5,2.5,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282374.523544261,0.0980954899252984,0.0661725939738789,0.254750806353488,0.0327602413475514,0.0473712072996513,-0.0670261575178188,-0.213477581104797,2.47765041941293e-05,"sigma_q",2.5
12,1.5,3,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281760.57647058,-0.119540761517556,-0.141884436601092,-0.0711671001951797,-0.124315104989314,-0.073238086770433,0.00193809859426741,0.446407490357804,2.47765041939311e-05,"sigma_q",3
12,1.5,3,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280990.57605288,-0.392495893484546,-0.532056353861876,-0.167374637528062,-0.185339295496478,-0.0909406052212125,0.0147430902985218,0.824583987720671,2.47765041939311e-05,"sigma_q",3
12,1.5,3,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282375.652439871,0.0984956687343219,0.0668730454145949,0.254735609462231,0.028923205960818,0.0434882424160676,-0.0670340235378125,-0.214249673969035,2.47765041939311e-05,"sigma_q",3
13,1.5,3.5,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281758.010895531,-0.120450224499591,-0.143473373531178,-0.0711265118393478,-0.115251883991363,-0.0640495836861654,0.00195510930638132,0.448174000940358,2.47765041939386e-05,"sigma_q",3.5
13,1.5,3.5,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280985.82682888,-0.394179431615105,-0.535000217214798,-0.167296726680766,-0.168451264502256,-0.0738202715288905,0.0147744594046345,0.827860301696485,2.47765041939386e-05,"sigma_q",3.5
13,1.5,3.5,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282376.753550198,0.0988859980222134,0.067556882911135,0.25472167920142,0.0252249302854057,0.0397484571915907,-0.0670420167523722,-0.215000426228455,2.47765041939386e-05,"sigma_q",3.5
14,1.5,4,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281755.517451735,-0.121334117890659,-0.145019292409954,-0.0710898189738129,-0.106582222403662,-0.0552678104580706,0.00197257355293856,0.449884081716295,2.47765041939308e-05,"sigma_q",4
14,1.5,4,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280981.20652356,-0.395817269750653,-0.537867098620037,-0.167226255102559,-0.152292959397882,-0.0574541655819272,0.0148067120204237,0.831034947409691,2.47765041939308e-05,"sigma_q",4
